2026-02-26T23:54:28.083Z [ODDS]  Vasco da Gama: 125/1 → 150/1, Draw: 8/1 → 9/1, Santos: 1/14 → 1/16
2026-02-26T23:55:17.243Z [ODDS]  Vasco da Gama: 150/1 → 250/1, Draw: 9/1 → 10/1, Santos: 1/16 → 1/20
2026-02-26T23:55:25.811Z [ODDS]  Draw: 10/1 → 12/1, Santos: 1/20 → 1/25
2026-02-26T23:55:36.636Z [ODDS]  Vasco da Gama: 250/1 → 100/1, Draw: 12/1 → 7/1, Santos: 1/25 → 1/12
2026-02-26T23:55:45.205Z [ODDS]  Vasco da Gama: 100/1 → 250/1, Draw: 7/1 → 12/1, Santos: 1/12 → 1/25
2026-02-26T23:55:58.735Z [ODDS]  Vasco da Gama: 250/1 → 300/1
2026-02-26T23:56:30.854Z [ODDS]  Vasco da Gama: 300/1 → 350/1
2026-02-26T23:56:49.344Z [ODDS]  Santos: 1/25 → 1/28
2026-02-26T23:56:52.502Z [ODDS]  Draw: 12/1 → 14/1, Santos: 1/28 → 1/33
2026-02-26T23:56:58.816Z [ODDS]  Vasco da Gama: 350/1 → 400/1
2026-02-26T23:57:01.972Z [ODDS]  Vasco da Gama: 400/1 → 125/1, Draw: 14/1 → 8/1, Santos: 1/33 → 1/14
2026-02-26T23:57:10.091Z [ODDS]  Vasco da Gama: 125/1 → 400/1, Draw: 8/1 → 14/1, Santos: 1/14 → 1/33
2026-02-26T23:57:20.463Z [ODDS]  Vasco da Gama: 400/1 → 450/1
2026-02-26T23:57:31.738Z [ODDS]  Draw: 14/1 → 16/1, Santos: 1/33 → 1/40
2026-02-26T23:57:37.604Z [ODDS]  Vasco da Gama: 450/1 → 500/1
2026-02-26T23:58:17.289Z [ODDS]  Draw: 16/1 → 18/1, Santos: 1/40 → 1/50
2026-02-26T23:58:19.996Z [ODDS]  Draw: 18/1 → 16/1, Santos: 1/50 → 1/40
2026-02-26T23:58:26.760Z [ODDS]  Draw: 16/1 → 18/1, Santos: 1/40 → 1/50
2026-02-26T23:59:09.155Z [ODDS]  Draw: 18/1 → 20/1, Santos: 1/50 → 1/66
2026-02-26T23:59:35.763Z [ODDS]  Draw: 20/1 → 22/1, Santos: 1/66 → 1/80
2026-02-26T23:59:47.941Z [ODDS]  Vasco da Gama: 500/1 → 350/1, Draw: 22/1 → 10/1, Santos: 1/80 → 1/20
2026-02-26T23:59:51.999Z [ODDS]  Draw: 10/1 → 12/1, Santos: 1/20 → 1/25
2026-02-26T23:59:54.724Z [ODDS]  Vasco da Gama: 350/1 → 500/1, Draw: 12/1 → 22/1, Santos: 1/25 → 1/80
2026-02-26T23:59:57.413Z [ODDS]  Draw: 22/1 → 25/1, Santos: 1/80 → 1/100
2026-02-27T00:00:19.061Z [ODDS]  Draw: 25/1 → 18/1, Santos: 1/100 → 1/50
